# -*- coding: utf-8 -*-,,,,,,,,
,,,,,,,,
# A datafile created by Gustav!,,,,,,,,
# ,,,,,,,,
# Experiment: lateralization-matching,,,,,,,,
# ,,,,,,,,
,,,,,,,,
S,Trial,Date,Block,Condition,cue,location,Stim,Resp
latpilot5,2,2024-09-23,2,12,ild,800,$user[az],84.4352549821467
latpilot5,3,2024-09-23,3,7,ild,50,$user[az],10.2038636432997
latpilot5,4,2024-09-23,4,5,ild,-100,$user[az],-10.2038636432997
latpilot5,5,2024-09-23,5,8,ild,100,$user[az],13.917355876339
latpilot5,6,2024-09-23,6,9,ild,200,$user[az],26.909085360271
latpilot5,7,2024-09-23,7,4,ild,-200,$user[az],-17.6308481093783
latpilot5,8,2024-09-23,8,3,ild,-400,$user[az],-75.157017731254
latpilot5,9,2024-09-23,9,10,ild,400,$user[az],86.2920010986663
latpilot5,10,2024-09-23,10,1,ild,-800,$user[az],-88.148747215186
latpilot5,11,2024-09-23,11,2,ild,-500,$user[az],-47.322305978576
latpilot5,12,2024-09-23,12,11,ild,500,$user[az],56.6005432294687
latpilot5,13,2024-09-23,13,6,ild,-50,$user[az],-6.495864741966
latpilot5,14,2024-09-23,14,12,ild,800,$user[az],82.578508865627
latpilot5,15,2024-09-23,15,5,ild,-100,$user[az],-6.495864741966
latpilot5,16,2024-09-23,16,1,ild,-800,$user[az],-90
latpilot5,17,2024-09-23,17,10,ild,400,$user[az],65.8787804803613
latpilot5,18,2024-09-23,18,2,ild,-500,$user[az],-34.330576494644
latpilot5,19,2024-09-23,19,3,ild,-400,$user[az],-36.1873226111637
latpilot5,20,2024-09-23,20,11,ild,500,$user[az],90
latpilot5,21,2024-09-23,21,9,ild,200,$user[az],36.1873226111637
latpilot5,22,2024-09-23,22,7,ild,50,$user[az],13.917355876339
latpilot5,23,2024-09-23,23,8,ild,100,$user[az],15.7741019928587
latpilot5,24,2024-09-23,24,4,ild,-200,$user[az],-19.487594225898
latpilot5,25,2024-09-23,25,2,ild,-500,$user[az],-49.1790520950957
latpilot5,26,2024-09-23,26,1,ild,-800,$user[az],-86.2920010986664
latpilot5,27,2024-09-23,27,7,ild,50,$user[az],4.63911862544634
latpilot5,28,2024-09-23,28,5,ild,-100,$user[az],-13.917355876339
latpilot5,29,2024-09-23,29,8,ild,100,$user[az],8.35261085848568
latpilot5,30,2024-09-23,30,9,ild,200,$user[az],38.0440687276833
latpilot5,31,2024-09-23,31,4,ild,-200,$user[az],-17.6308481093783
latpilot5,32,2024-09-23,32,6,ild,-50,$user[az],-12.0606097598193
latpilot5,33,2024-09-23,33,3,ild,-400,$user[az],-28.7658314767907
latpilot5,34,2024-09-23,34,10,ild,400,$user[az],69.5922727134007
latpilot5,35,2024-09-23,35,11,ild,500,$user[az],82.578508865627
latpilot5,36,2024-09-23,36,12,ild,800,$user[az],90
latpilot5,37,2024-09-23,37,12,ild,800,$user[az],86.2920010986663
latpilot5,38,2024-09-23,38,2,ild,-500,$user[az],-36.1873226111637
latpilot5,39,2024-09-23,39,8,ild,100,$user[az],10.2038636432997
latpilot5,40,2024-09-23,40,3,ild,-400,$user[az],-51.0303048799097
latpilot5,41,2024-09-23,41,9,ild,200,$user[az],52.8870509964293
latpilot5,42,2024-09-23,42,1,ild,-800,$user[az],-90
latpilot5,43,2024-09-23,43,4,ild,-200,$user[az],-25.0523392437513
