# -*- coding: utf-8 -*-,,,,,,,,,,,,,
,,,,,,,,,,,,,
# A datafile created by Gustav!,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Experiment: mild-master,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Vocoded speech in spatially-separated speech or noise maskers.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# $comments,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
,,,,,,,,,,,,,
S,Trial,Date,Block,Condition,masker,Soundfile,Times,,,,,,
itd_pilot1,34,9/13/2024,34,5,side=r_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=400_az=0_mag=0/13__side=r_itd=400_az=0_mag=0__l=gash-gash-gash-dash-dash-dash-dash-dash-bash-dash-bash-gash__r=gash-gash-bash-dash-gash-bash-dash-gash-dash-bash-gash-bash.wav,3454.673619,6053.77916,8976.14827,10961.22032,,,
itd_pilot1,35,9/13/2024,35,8,side=l_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=400_az=0_mag=0/13__side=l_itd=400_az=0_mag=0__l=gash-gash-bash-dash-gash-gash-gash-bash-dash-dash-dash-bash__r=dash-bash-gash-gash-bash-dash-gash-dash-gash-dash-bash-gash.wav,2583.475876,5520.238936,7639.545613,10071.60209,,,
itd_pilot1,36,9/13/2024,36,7,side=r_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=50_az=0_mag=0/13__side=r_itd=50_az=0_mag=0__l=gash-gash-bash-gash-gash-bash-dash-gash-gash-dash-gash-gash__r=gash-dash-gash-bash-gash-gash-bash-gash-bash-gash-dash-bash.wav,3737.781293,10569.81349,,,,,
itd_pilot1,37,9/13/2024,37,2,side=l_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=50_az=0_mag=0/13__side=l_itd=50_az=0_mag=0__l=dash-bash-gash-gash-dash-dash-dash-gash-gash-dash-gash-bash__r=dash-dash-bash-gash-gash-bash-gash-bash-gash-bash-dash-dash.wav,2998.205396,3548.803947,6852.834346,9300.674119,,,
itd_pilot1,38,9/13/2024,38,4,side=l_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=200_az=0_mag=0/13__side=l_itd=200_az=0_mag=0__l=dash-bash-dash-dash-gash-gash-gash-bash-dash-gash-dash-gash__r=gash-dash-bash-gash-bash-gash-dash-dash-bash-gash-dash-bash.wav,2876.910767,7676.946673,9046.610022,,,,
itd_pilot1,39,9/13/2024,39,3,side=l_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=100_az=0_mag=0/13__side=l_itd=100_az=0_mag=0__l=gash-dash-bash-gash-dash-dash-gash-gash-bash-gash-dash-dash__r=dash-bash-gash-dash-bash-gash-bash-dash-gash-gash-dash-bash.wav,2776.238802,7019.666206,8472.166168,10736.17802,,,
itd_pilot1,40,9/13/2024,40,1,side=r_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=100_az=0_mag=0/13__side=r_itd=100_az=0_mag=0__l=gash-gash-dash-bash-dash-gash-gash-bash-gash-dash-dash-gash__r=dash-dash-dash-gash-bash-gash-bash-dash-dash-bash-dash-bash.wav,4240.329973,5216.27748,6898.017648,,,,
itd_pilot1,41,9/13/2024,41,3,side=l_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=100_az=0_mag=0/14__side=l_itd=100_az=0_mag=0__l=gash-dash-gash-bash-dash-dash-gash-dash-dash-bash-dash-gash__r=dash-bash-dash-dash-bash-gash-bash-dash-gash-gash-gash-bash.wav,2839.481558,5326.464091,7526.58239,9954.521819,,,
itd_pilot1,42,9/13/2024,42,8,side=l_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=400_az=0_mag=0/14__side=l_itd=400_az=0_mag=0__l=dash-gash-bash-gash-gash-dash-dash-bash-gash-gash-dash-bash__r=gash-dash-gash-bash-dash-dash-gash-gash-bash-dash-bash-dash.wav,3804.927464,7737.297253,8388.946853,10040.61519,,,
itd_pilot1,43,9/13/2024,43,5,side=r_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=400_az=0_mag=0/14__side=r_itd=400_az=0_mag=0__l=gash-gash-gash-gash-dash-dash-dash-bash-dash-bash-gash-dash__r=gash-dash-bash-dash-dash-bash-gash-gash-bash-gash-bash-gash.wav,3741.261795,6466.863101,8346.807133,9935.718719,,,
