# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-2
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
505,36,2024-02-14,36,16,side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/1_side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
505,37,2024-02-14,37,17,side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/2_side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,38,2024-02-14,38,1,side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/2_side=l_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,39,2024-02-14,39,14,side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/2_side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
505,40,2024-02-14,40,4,side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/2_side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
505,41,2024-02-14,41,12,side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/2_side=r_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,
505,42,2024-02-14,42,3,side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/2_side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,43,2024-02-14,43,10,side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/2_side=l_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,44,2024-02-14,44,13,side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/2_side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,45,2024-02-14,45,18,side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/2_side=r_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
