S,Condition,Lead_Stream,Lead_Word,Lag_Word,Lead_Amplitude,Lag_Amplitude,Electrode
mild_master_1 ,large_ild,Target,non-bash,bash,0.982534182683016,0.823967374746616,T7
mild_master_1 ,large_ild,Target,non-bash,non-bash,0.979257407178724,0.0673362965021676,T7
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.561571726202965,1.61914273412789,T7
mild_master_1 ,large_ild,Masker,non-bash,bash,-0.847740277647972,3.18961091417333,T7
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.03770196800647,0.514876043648453,T7
mild_master_1 ,small_itd,Target,bash,non-bash,4.54935750994417,0.795706819163428,C3
mild_master_1 ,small_itd,Target,non-bash,bash,-0.68219897256178,3.71439953797004,C3
mild_master_1 ,small_itd,Target,non-bash,non-bash,0.987162848990014,1.80464837153753,C3
mild_master_1 ,small_itd,Masker,bash,non-bash,1.42888322251814,1.05280277971868,C3
mild_master_1 ,small_itd,Masker,non-bash,bash,-0.700507785343542,5.45956086734446,C3
mild_master_1 ,small_itd,Masker,non-bash,non-bash,0.309958798735292,0.458434787996999,C3
mild_master_1 ,large_itd,Target,bash,non-bash,3.44723248609475,3.68100821503571,C3
mild_master_1 ,large_itd,Target,non-bash,bash,0.76051363448302,3.09017055961821,C3
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.567921911663823,1.16056492065454,C3
mild_master_1 ,large_itd,Masker,bash,non-bash,3.10464527845383,0.25929373840491,C3
mild_master_1 ,large_itd,Masker,non-bash,bash,0.818271487770659,4.10443199620102,C3
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.343561682083624,0.780982615536065,C3
mild_master_1 ,small_ild,Target,bash,non-bash,5.2228311419487,-0.468803573846817,C3
mild_master_1 ,small_ild,Target,non-bash,bash,-0.230881904136567,3.57188024066743,C3
mild_master_1 ,small_ild,Target,non-bash,non-bash,1.01674432509782,0.365338214896373,C3
mild_master_1 ,small_ild,Masker,bash,non-bash,2.91671926135367,1.6174971729517,C3
mild_master_1 ,small_ild,Masker,non-bash,bash,2.65802886982759,4.35640522870753,C3
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.3180150847686,-0.326207190079797,C3
mild_master_1 ,large_ild,Target,bash,non-bash,3.05993621374698,2.20328359781428,C3
mild_master_1 ,large_ild,Target,non-bash,bash,0.834615563734984,1.11760775828973,C3
mild_master_1 ,large_ild,Target,non-bash,non-bash,1.7706921713139,-0.980914150893204,C3
mild_master_1 ,large_ild,Masker,bash,non-bash,0.607801056258819,1.1338621356908,C3
mild_master_1 ,large_ild,Masker,non-bash,bash,-1.89114754433217,4.74048799950144,C3
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.29574170704954,0.623461601082583,C3
mild_master_1 ,small_itd,Target,bash,non-bash,6.02823303838571,1.15043589754237,CP1
mild_master_1 ,small_itd,Target,non-bash,bash,2.05549498025109,3.05333857711624,CP1
mild_master_1 ,small_itd,Target,non-bash,non-bash,0.572141234671816,1.87804485111372,CP1
mild_master_1 ,small_itd,Masker,bash,non-bash,1.17935092901742,0.492952417002784,CP1
mild_master_1 ,small_itd,Masker,non-bash,bash,-0.810741442005809,5.01478778385535,CP1
mild_master_1 ,small_itd,Masker,non-bash,non-bash,-0.186410200512493,0.863470989424032,CP1
mild_master_1 ,large_itd,Target,bash,non-bash,4.65091180545943,2.29940288109439,CP1
mild_master_1 ,large_itd,Target,non-bash,bash,0.949662385053105,1.97607302831279,CP1
mild_master_1 ,large_itd,Target,non-bash,non-bash,1.74998541818811,0.73437116749875,CP1
mild_master_1 ,large_itd,Masker,bash,non-bash,2.75763654073079,1.36103106796741,CP1
