S,Condition,Lead_Stream,Lead_Word,Lag_Word,Lead_Amplitude,Lag_Amplitude,Electrode
mild_master_1 ,large_itd,Target,bash,non-bash,1.57466792932579,1.99078881016799,FC5
mild_master_1 ,large_itd,Target,non-bash,bash,1.99958167175452,2.36701406968964,FC5
mild_master_1 ,large_itd,Target,non-bash,non-bash,1.67075461923302,0.6221936305622,FC5
mild_master_1 ,large_itd,Masker,bash,non-bash,0.595710951884588,1.1372247693936,FC5
mild_master_1 ,large_itd,Masker,non-bash,bash,2.5380088838664,1.4604579000762,FC5
mild_master_1 ,large_itd,Masker,non-bash,non-bash,1.21199721801195,0.896760106086731,FC5
mild_master_1 ,small_ild,Target,bash,non-bash,1.44988128066063,1.90399425774813,FC5
mild_master_1 ,small_ild,Target,non-bash,bash,2.9768734619731,0.845472229094732,FC5
mild_master_1 ,small_ild,Target,non-bash,non-bash,1.75489519423996,1.23941783281352,FC5
mild_master_1 ,small_ild,Masker,bash,non-bash,2.33420251282779,2.40350252552466,FC5
mild_master_1 ,small_ild,Masker,non-bash,bash,3.05025587644842,1.05865614347988,FC5
mild_master_1 ,small_ild,Masker,non-bash,non-bash,2.49745794274753,0.846660846516602,FC5
mild_master_1 ,large_ild,Target,bash,non-bash,1.7763858181365,1.48507150868152,FC5
mild_master_1 ,large_ild,Target,non-bash,bash,2.46354313783157,0.267447974437322,FC5
mild_master_1 ,large_ild,Target,non-bash,non-bash,2.2308740767037,0.943878152312302,FC5
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.215124434933943,0.0263735585352954,FC5
mild_master_1 ,large_ild,Masker,non-bash,bash,2.31851354915163,-0.427172041457632,FC5
mild_master_1 ,large_ild,Masker,non-bash,non-bash,2.35706311005243,1.53450113764461,FC5
mild_master_1 ,small_itd,Target,bash,non-bash,0.537076460321744,3.45014863974518,T7
mild_master_1 ,small_itd,Target,non-bash,bash,2.06436073920306,0.256544304244659,T7
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.59907452100558,0.446599035947881,T7
mild_master_1 ,small_itd,Masker,bash,non-bash,2.31118084159162,0.10683011578189,T7
mild_master_1 ,small_itd,Masker,non-bash,bash,0.966967718630302,0.436090441447933,T7
mild_master_1 ,small_itd,Masker,non-bash,non-bash,2.62212865544366,0.700101234279312,T7
mild_master_1 ,large_itd,Target,bash,non-bash,1.10340620747634,2.78501306474209,T7
mild_master_1 ,large_itd,Target,non-bash,bash,1.04232729938295,1.59488505340285,T7
mild_master_1 ,large_itd,Target,non-bash,non-bash,1.05976642285075,0.549401409362818,T7
mild_master_1 ,large_itd,Masker,bash,non-bash,-0.160220717390378,0.594787916143735,T7
mild_master_1 ,large_itd,Masker,non-bash,bash,2.79920458360152,0.884478001161055,T7
mild_master_1 ,large_itd,Masker,non-bash,non-bash,1.01678820809872,0.723662136527274,T7
mild_master_1 ,small_ild,Target,bash,non-bash,0.140295369178057,1.73710887372494,T7
mild_master_1 ,small_ild,Target,non-bash,bash,1.93969039760885,0.284348467560042,T7
mild_master_1 ,small_ild,Target,non-bash,non-bash,1.19979846485403,1.00950035551526,T7
mild_master_1 ,small_ild,Masker,bash,non-bash,1.28182353133505,1.79370722161098,T7
mild_master_1 ,small_ild,Masker,non-bash,bash,2.17698491944207,1.79990563607878,T7
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.9752438703874,0.687130142871599,T7
mild_master_1 ,large_ild,Target,bash,non-bash,1.00711291191426,0.974680525064468,T7
mild_master_1 ,large_ild,Target,non-bash,bash,2.32232904907985,0.477929879457523,T7
mild_master_1 ,large_ild,Target,non-bash,non-bash,1.40806855098988,1.14270457770766,T7
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.135984237579738,-0.712517919961144,T7
mild_master_1 ,large_ild,Masker,non-bash,bash,2.13087432527024,-1.09127038419247,T7
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.99273916305222,1.34423182366057,T7
mild_master_1 ,small_itd,Target,bash,non-bash,0.58840465578768,5.10213203463289,C3
mild_master_1 ,small_itd,Target,non-bash,bash,2.63788402045474,-1.27255270095433,C3
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.67377307389645,1.05140369378083,C3
mild_master_1 ,small_itd,Masker,bash,non-bash,1.98983339292032,0.511612318180226,C3
mild_master_1 ,small_itd,Masker,non-bash,bash,0.86299109168169,0.643192557590764,C3
mild_master_1 ,small_itd,Masker,non-bash,non-bash,3.82610258664285,1.06677318236211,C3
mild_master_1 ,large_itd,Target,bash,non-bash,1.38936924636364,3.78542187171323,C3
mild_master_1 ,large_itd,Target,non-bash,bash,1.12510416938199,0.933817480670081,C3
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.390941668330849,0.283798148337897,C3
mild_master_1 ,large_itd,Masker,bash,non-bash,-0.0951773138840993,1.12923000574112,C3
mild_master_1 ,large_itd,Masker,non-bash,bash,3.9495493592638,0.30925573905309,C3
mild_master_1 ,large_itd,Masker,non-bash,non-bash,2.24457606634648,0.823058029730543,C3
mild_master_1 ,small_ild,Target,bash,non-bash,0.018178063929081,2.79572792857885,C3
mild_master_1 ,small_ild,Target,non-bash,bash,3.62815017416364,-0.203098933469682,C3
mild_master_1 ,small_ild,Target,non-bash,non-bash,2.33988443273582,1.1346918017659,C3
mild_master_1 ,small_ild,Masker,bash,non-bash,1.15543092164126,2.8344103127718,C3
mild_master_1 ,small_ild,Masker,non-bash,bash,2.20838020046552,1.78613628413942,C3
mild_master_1 ,small_ild,Masker,non-bash,non-bash,2.99039739325531,1.0414724241522,C3
mild_master_1 ,large_ild,Target,bash,non-bash,0.861559547515626,0.508324254066386,C3
mild_master_1 ,large_ild,Target,non-bash,bash,2.80855027498343,1.24232713381449,C3
mild_master_1 ,large_ild,Target,non-bash,non-bash,2.02872359859265,2.13882139475365,C3
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.566967891594943,-0.105305730945924,C3
mild_master_1 ,large_ild,Masker,non-bash,bash,2.64670689313308,-1.07599480566771,C3
mild_master_1 ,large_ild,Masker,non-bash,non-bash,2.48392228776624,1.30157045311069,C3
mild_master_1 ,small_itd,Target,bash,non-bash,-1.63670311934418,5.94806725283464,CP1
mild_master_1 ,small_itd,Target,non-bash,bash,3.71341594299849,-0.388926569153281,CP1
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.77000664455671,0.608527506158707,CP1
mild_master_1 ,small_itd,Masker,bash,non-bash,2.33550324627647,-0.776842877268791,CP1
mild_master_1 ,small_itd,Masker,non-bash,bash,0.971517923110869,1.04009375426827,CP1
mild_master_1 ,small_itd,Masker,non-bash,non-bash,2.7822476787167,0.481669693309944,CP1
mild_master_1 ,large_itd,Target,bash,non-bash,1.21613773724863,4.91356028062957,CP1
mild_master_1 ,large_itd,Target,non-bash,bash,1.66039749781291,2.64569845547279,CP1
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.36092598097665,0.855154442477536,CP1
mild_master_1 ,large_itd,Masker,bash,non-bash,-2.64867956201235,0.826619055668513,CP1
mild_master_1 ,large_itd,Masker,non-bash,bash,3.17647537715507,-0.384004873579199,CP1
mild_master_1 ,large_itd,Masker,non-bash,non-bash,1.8138374076044,1.09549529895508,CP1
mild_master_1 ,small_ild,Target,bash,non-bash,-2.03192174077034,3.0584111264348,CP1
mild_master_1 ,small_ild,Target,non-bash,bash,2.42845969625882,-1.16721209117344,CP1
mild_master_1 ,small_ild,Target,non-bash,non-bash,2.0068617489559,0.581787978458089,CP1
mild_master_1 ,small_ild,Masker,bash,non-bash,1.8320949097926,2.80667893236334,CP1
mild_master_1 ,small_ild,Masker,non-bash,bash,0.849466346369849,3.73210501174132,CP1
mild_master_1 ,small_ild,Masker,non-bash,non-bash,3.10296381505808,1.37138980837693,CP1
mild_master_1 ,large_ild,Target,bash,non-bash,-0.163682231243621,1.22405127844912,CP1
mild_master_1 ,large_ild,Target,non-bash,bash,3.75945320282227,-0.217802710410876,CP1
mild_master_1 ,large_ild,Target,non-bash,non-bash,1.29536787169736,1.69374896457525,CP1
mild_master_1 ,large_ild,Masker,bash,non-bash,-1.31367884541259,0.665725370014415,CP1
mild_master_1 ,large_ild,Masker,non-bash,bash,2.8345837118833,-2.61054768575274,CP1
mild_master_1 ,large_ild,Masker,non-bash,non-bash,2.45361284817228,1.74095262211302,CP1
mild_master_1 ,small_itd,Target,bash,non-bash,0.0732510455780559,3.81532852566904,CP5
