,Unnamed: 0,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,mean_hbo,mean_hbr
1470,660,az_itd=0_az=5,8.0,2.256225379650359e-15,0.0007007845700286,4.22048484479395e-08,-5.332068126243481,-0.2250391271821948,19,14,hbo,True,S19_D14 hbo,mild_master_3,-0.0240850055830513,
1471,661,az_itd=15_az=0,8.0,2.256225379650359e-15,7.199953642012262e-06,4.220527361274547e-08,-10.222590910145376,-0.4314472463938503,19,14,hbo,True,S19_D14 hbo,mild_master_3,-0.09150185993734,
1472,662,az_itd=5_az=0,8.0,2.256225379650359e-15,1.5159456624149951e-06,4.221130992573858e-08,-12.557142809932454,-0.5300534469318188,19,14,hbo,True,S19_D14 hbo,mild_master_3,-0.0114930765714585,
1477,675,az_itd=0_az=15,8.0,1.3233538666535313e-15,0.0052704223659108,3.230433862675809e-08,-3.7954897333006823,-0.122610785598929,19,15,hbo,True,S19_D15 hbo,mild_master_3,0.0442939853568239,
1478,676,az_itd=0_az=5,8.0,1.3233538666535313e-15,0.0013948116827051,3.2322809330300815e-08,-4.777680105991185,-0.1544280431071244,19,15,hbo,True,S19_D15 hbo,mild_master_3,-0.0312067680122194,
1479,677,az_itd=15_az=0,8.0,1.3233538666535313e-15,3.4373862038435146e-05,3.2323134945045625e-08,-8.269561226586672,-0.267298143463278,19,15,hbo,True,S19_D15 hbo,mild_master_3,-0.032270571064735,
1480,678,az_itd=5_az=0,8.0,1.3233538666535313e-15,4.43738288506928e-05,3.2327757887695805e-08,-7.982202671449336,-0.2580467153731328,19,15,hbo,True,S19_D15 hbo,mild_master_3,-0.0064050498331741,
1485,691,az_itd=0_az=15,8.0,1.2033139006707646e-15,0.0019825046893443,3.0804369602896913e-08,-4.5074399402979495,-0.1388488458837976,19,21,hbo,True,S19_D21 hbo,mild_master_3,0.0709476661687683,
1486,692,az_itd=0_az=5,8.0,1.2033139006707646e-15,0.0002407236827664,3.082198266674351e-08,-6.268940262740652,-0.1932211681170428,19,21,hbo,True,S19_D21 hbo,mild_master_3,-0.0233258381066077,
1487,693,az_itd=15_az=0,8.0,1.2033139006707646e-15,8.657850852406096e-06,3.0822293162403666e-08,-9.97352120079265,-0.3074067943122792,19,21,hbo,True,S19_D21 hbo,mild_master_3,-0.0293088802570571,
1488,694,az_itd=5_az=0,8.0,1.2033139006707646e-15,6.669591017948333e-06,3.0826701450581124e-08,-10.327526576215714,-0.318363578487944,19,21,hbo,True,S19_D21 hbo,mild_master_3,0.007454397154489,
1493,739,az_itd=0_az=15,8.0,9.941714777345496e-15,0.2174720971045546,7.119055809793513e-08,-1.3386659201888047,-0.0953003739649268,20,12,hbo,False,S20_D12 hbo,mild_master_3,0.0490611976050701,
1494,740,az_itd=0_az=5,8.0,9.941714777345496e-15,0.1167155559071871,7.121217272773785e-08,-1.758486051660171,-0.1252256124501418,20,12,hbo,False,S20_D12 hbo,mild_master_3,0.0231569607126052,
1495,741,az_itd=15_az=0,8.0,9.941714777345496e-15,0.0843498344740136,7.120537098204306e-08,-1.9699525995397824,-0.1402712056672703,20,12,hbo,False,S20_D12 hbo,mild_master_3,-0.0122327019307874,
1496,742,az_itd=5_az=0,8.0,9.941714777345496e-15,0.0024521992177226,7.120217654314568e-08,-4.347897367686007,-0.3095797559654574,20,12,hbo,True,S20_D12 hbo,mild_master_3,0.0721744642606152,
1501,755,az_itd=0_az=15,8.0,1.1087612703987998e-15,0.000246526278621,2.9569357119454816e-08,-6.246938493288198,-0.1847179552113077,20,13,hbo,True,S20_D13 hbo,mild_master_3,0.020784595449489,
1502,756,az_itd=0_az=5,8.0,1.1087612703987998e-15,0.0001802655445933,2.9586264038231662e-08,-6.540477542626294,-0.1935082955122661,20,13,hbo,True,S20_D13 hbo,mild_master_3,-0.0156973448154096,
1503,757,az_itd=15_az=0,8.0,1.1087612703987998e-15,1.1834306463933634e-05,2.958656208546253e-08,-9.5633410327345,-0.2829463832094505,20,13,hbo,True,S20_D13 hbo,mild_master_3,-0.0681015201207612,
1504,758,az_itd=5_az=0,8.0,1.1087612703987998e-15,5.61649974593479e-07,2.9590793636021278e-08,-14.287418431207428,-0.4227760503893458,20,13,hbo,True,S20_D13 hbo,mild_master_3,0.0203771456346243,
1509,771,az_itd=0_az=15,8.0,7.905557689051289e-16,0.0004171062760316,2.49683081058226e-08,-5.774551627324998,-0.1441807842040298,20,20,hbo,True,S20_D20 hbo,mild_master_3,0.0296843973549941,
1510,772,az_itd=0_az=5,8.0,7.905557689051289e-16,4.752272696712519e-05,2.4982584275420567e-08,-7.9064349963524,-0.1975231786145083,20,20,hbo,True,S20_D20 hbo,mild_master_3,0.0184786861112565,
1511,773,az_itd=15_az=0,8.0,7.905557689051289e-16,6.40559706661013e-05,2.4982835945927316e-08,-7.583116421832245,-0.1894477535255023,20,20,hbo,True,S20_D20 hbo,mild_master_3,-0.0573553783312105,
