# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-bici
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
mild_bici_1,35,2025-03-29,35,3,side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0/13__side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=dash-gash-dash-gash-bash-dash-dash-dash-gash-gash-bash-gash-gash-bash-dash-gash__r=gash-dash-bash-gash-gash-dash-gash-dash-bash-dash-gash-gash-gash-gash-gash-bash.wav,2207.5053935050964
mild_bici_1,36,2025-03-29,36,1,side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0/13__side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=gash-bash-gash-gash-gash-dash-bash-gash-dash-bash-gash-bash-dash-gash-bash-gash__r=dash-gash-dash-dash-bash-dash-gash-gash-dash-dash-dash-gash-dash-dash-gash-dash.wav,7703.605867862701
mild_bici_1,37,2025-03-29,37,7,side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0/13__side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=dash-gash-dash-gash-dash-dash-dash-gash-gash-bash-gash-gash-gash-dash-dash-gash__r=gash-dash-dash-bash-gash-gash-dash-bash-gash-dash-dash-gash-bash-dash-bash-gash.wav,
mild_bici_1,38,2025-03-29,38,8,side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0/13__side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=gash-gash-bash-dash-gash-gash-gash-gash-gash-dash-dash-gash-gash-dash-dash-bash__r=dash-dash-gash-gash-dash-bash-gash-gash-bash-gash-bash-gash-gash-bash-gash-dash.wav,
mild_bici_1,39,2025-03-29,39,6,side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0/13__side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=gash-dash-dash-dash-gash-gash-gash-dash-dash-gash-gash-dash-bash-dash-bash-dash__r=dash-bash-gash-dash-dash-bash-dash-bash-gash-gash-gash-gash-dash-dash-gash-gash.wav,
mild_bici_1,40,2025-03-29,40,5,side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0/13__side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=dash-gash-gash-gash-dash-gash-gash-dash-gash-dash-gash-gash-bash-gash-gash-dash__r=gash-bash-dash-dash-gash-bash-gash-bash-gash-dash-bash-dash-gash-gash-dash-dash.wav,4486.797562599182
mild_bici_1,41,2025-03-29,41,1,side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0/14__side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=dash-gash-bash-gash-dash-bash-gash-bash-gash-gash-dash-gash-dash-gash-dash-dash__r=gash-dash-dash-gash-gash-gash-dash-gash-dash-gash-dash-gash-bash-dash-bash-gash.wav,
mild_bici_1,42,2025-03-29,42,6,side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0/14__side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=gash-dash-gash-gash-dash-gash-dash-gash-gash-gash-dash-bash-dash-dash-gash-dash__r=dash-gash-dash-bash-gash-bash-dash-bash-gash-dash-dash-gash-dash-bash-dash-gash.wav,
mild_bici_1,43,2025-03-29,43,4,side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0/14__side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=gash-gash-dash-dash-gash-bash-dash-gash-dash-gash-bash-gash-dash-dash-dash-gash__r=dash-bash-dash-bash-gash-dash-dash-gash-gash-gash-gash-dash-bash-gash-gash-dash.wav,8147.424131393433
mild_bici_1,44,2025-03-29,44,2,side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0/14__side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=dash-dash-bash-dash-bash-dash-gash-dash-dash-dash-gash-dash-dash-dash-dash-dash__r=dash-dash-gash-gash-gash-dash-gash-dash-bash-gash-bash-dash-bash-dash-bash-dash.wav,
