# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-bici-color
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
mild-bici-color-1_snr-4,66,2025-05-08,66,2,side=r_itd=0_az=40_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=40_mag=1_lpf=0/1_side=r_itd=0_az=40_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,67,2025-05-08,67,13,side=l_itd=0_az=60_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=60_mag=0_lpf=0/1_side=l_itd=0_az=60_mag=0_lpf=0.wav,6976.62728703022
mild-bici-color-1_snr-4,68,2025-05-08,68,21,side=l_itd=0_az=30_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=30_mag=1_lpf=0/1_side=l_itd=0_az=30_mag=1_lpf=0.wav,6769.970193147659,10857.943682074547
mild-bici-color-1_snr-4,69,2025-05-08,69,9,side=l_itd=0_az=50_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=50_mag=1_lpf=0/1_side=l_itd=0_az=50_mag=1_lpf=0.wav,5070.037081956863,6866.723093032837,8506.766099095345
mild-bici-color-1_snr-4,70,2025-05-08,70,15,side=l_itd=0_az=10_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=10_mag=1_lpf=0/1_side=l_itd=0_az=10_mag=1_lpf=0.wav,7352.739144086838,11963.096374034882
mild-bici-color-1_snr-4,71,2025-05-08,71,4,side=l_itd=0_az=70_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=70_mag=1_lpf=0/1_side=l_itd=0_az=70_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,72,2025-05-08,72,11,side=r_itd=0_az=10_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=10_mag=1_lpf=0/1_side=r_itd=0_az=10_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,73,2025-05-08,73,29,side=l_itd=0_az=80_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=80_mag=0_lpf=0/2_side=l_itd=0_az=80_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,74,2025-05-08,74,32,side=r_itd=0_az=40_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=40_mag=0_lpf=0/2_side=r_itd=0_az=40_mag=0_lpf=0.wav,6257.557807922363,9962.37624502182,11202.23142194748
mild-bici-color-1_snr-4,75,2025-05-08,75,28,side=r_itd=0_az=80_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=80_mag=0_lpf=0/2_side=r_itd=0_az=80_mag=0_lpf=0.wav,3841.665265083313,4900.927648067474,8564.896901011467,11757.234434008598
mild-bici-color-1_snr-4,76,2025-05-08,76,20,side=r_itd=0_az=70_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=70_mag=0_lpf=0/2_side=r_itd=0_az=70_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,77,2025-05-08,77,30,side=l_itd=0_az=60_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=60_mag=1_lpf=0/2_side=l_itd=0_az=60_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,78,2025-05-08,78,23,side=l_itd=0_az=10_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=10_mag=0_lpf=0/2_side=l_itd=0_az=10_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,79,2025-05-08,79,18,side=r_itd=0_az=30_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=30_mag=1_lpf=0/2_side=r_itd=0_az=30_mag=1_lpf=0.wav,
mild-bici-color-1_snr-4,80,2025-05-08,80,9,side=l_itd=0_az=50_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=50_mag=1_lpf=0/2_side=l_itd=0_az=50_mag=1_lpf=0.wav,12090.42701792717
mild-bici-color-1_snr-4,81,2025-05-08,81,34,side=l_itd=0_az=90_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=l_itd=0_az=90_mag=0_lpf=0/2_side=l_itd=0_az=90_mag=0_lpf=0.wav,
mild-bici-color-1_snr-4,82,2025-05-08,82,22,side=r_itd=0_az=20_mag=1_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=20_mag=1_lpf=0/2_side=r_itd=0_az=20_mag=1_lpf=0.wav,9550.21335697174
mild-bici-color-1_snr-4,83,2025-05-08,83,14,side=r_itd=0_az=90_mag=0_lpf=0,stim/mild-bici-color/s_mild-bici-color-1_snr-4/side=r_itd=0_az=90_mag=0_lpf=0/2_side=r_itd=0_az=90_mag=0_lpf=0.wav,
